template_code	retro_template	template_hash	classification	library_occurence	conditions
16	[C;H0;D3;+0:2]1-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c;H0;D3;+0:4]:[c;H0;D3;+0:3]-1>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2]-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[OH;D1;+0:5]	008d971c90b49ea97053f12b65d025ffe5e67a0dfaf893737d4a5c1f04beaff5	0.0 Unrecognized	10	1
17	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[N;H0;D3;+0:7]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[c;H0;D3;+0:4]:[c;H0;D3;+0:3]-1>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-O-C.[NH2;D1;+0:7]	008e72281479b9447b4dc1b050854fbb70cf207fec6c35c61a45c6dc1551aae9	0.0 Unrecognized	22	1
18	[O;H0;D1;+0:5]=[c;H0;D3;+0:4]1:[c;H0;D3;+0:6]:[c;H0;D3;+0:7]:[n;H0;D3;+0:2]:[n;H0;D3;+0:1]:1-[c;H0;D3;+0:3]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[N;H0;D3;+0:2]-[c;H0;D3;+0:3].Cl-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[CH;D3;+0:6]-[C;H0;D3;+0:7]=O	008f17a79c48858989b79c6e4e700efd01c50e173c1195f5390ad389e7b5252c	0.0 Unrecognized	6	1
19	[O;H0;D1;+0:8]=[c;H0;D3;+0:7]1:[c;H0;D3;+0:9]:[s;H0;D2;+0:10]:[c;H0;D3;+0:5]2:[n;H0;D2;+0:4]:[c;H0;D3;+0:2](-[c;H0;D3;+0:3]):[cH;D2;+0:1]:[n;H0;D3;+0:6]:1:2>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[c;H0;D3;+0:3].[NH2;D1;+0:4]-[C;H0;D3;+0:5]1=[N;H0;D2;+0:6]-[C;H0;D3;+0:7](=[O;H0;D1;+0:8])-[C;H0;D3;+0:9]-[S;H0;D2;+0:10]-1	008ff567731931474b41ae39850fc6ad0af10f40d4381b34016edce56c0c287e	0.0 Unrecognized	28	1
20	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4](-[OH;D1;+0:5]):[c;H0;D3;+0:6]:[c;H0;D3;+0:7](-[c;H0;D3;+0:9]):[n;H0;D3;+0:8]:1>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH;D3;+0:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-O-C.[CH2;D2;+0:6]-[C;H0;D3;+0:7](=[N;H0;D2;+0:8])-[c;H0;D3;+0:9]	0093b45827687f5648805ad51c26f4e789cb1fd9b8f8883946dd18c70dc02765	0.0 Unrecognized	5	1
21	[OH;D1;+0:5]-[c;H0;D3;+0:4]1:[cH;D2;+0:3]:[c;H0;D3;+0:2]2:[c;H0;D3;+0:8]:[c;H0;D3;+0:9](-[c;H0;D3;+0:11]):[o;H0;D2;+0:10]:[c;H0;D3;+0:1]:2:[cH;D2;+0:7]:[cH;D2;+0:6]:1>>O=[C;H0;D3;+0:1]1-[CH;D2;+0:2]=[CH;D2;+0:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[CH;D2;+0:6]=[CH;D2;+0:7]-1.[CH2;D2;+0:8]-[C;H0;D3;+0:9](=[O;H0;D1;+0:10])-[c;H0;D3;+0:11]	00b7cfe05a814eb22afc68a0e473a7e11e6e894089938c0870501a49230a94de	0.0 Unrecognized	27	1
22	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[CH2;D2;+0:3]-[O;H0;D2;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-1>>O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[O;H0;D2;+0:4]-[c;H0;D3;+0:5]:[cH;D2;+0:6]	00c532a37ed2a3d5391778aa0d55bfec549b7b0c0362ef0d1268ed0e89234467	0.0 Unrecognized	15	1
23	[c;H0;D3;+0:6]-[c;H0;D3;+0:4]1:[n;H0;D2;+0:3]:[n;H0;D2;+0:2]:[c;H0;D3;+0:1]:[o;H0;D2;+0:5]:1>>Cl-[C;H0;D3;+0:1]=O.[NH2;D1;+0:2]-[NH;D2;+0:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c;H0;D3;+0:6]	00cd88495ef3259e7b2eb60283b67aff1c3a073ad7d23ac1b8b14c13fc2055b6	0.0 Unrecognized	24	1
24	[C;H0;D3;+0:3]1-[O;H0;D2;+0:2]-[CH;D3;+0:1]-[c;H0;D3;+0:5]:[c;H0;D3;+0:4]-1>>O=[CH;D2;+0:1].[OH;D1;+0:2]-[C;H0;D3;+0:3]-[c;H0;D3;+0:4]:[cH;D2;+0:5]	00dd213572df1ebec1357a0289cedf24fcaedf5f57a7b113c2837722ff3772d9	0.0 Unrecognized	5	1
25	[NH2;D1;+0:4]-[c;H0;D3;+0:3]1:[cH;D2;+0:2]:[c;H0;D3;+0:1]:[n;H0;D2;+0:5]:[n;H0;D3;+0:6]:1-[c;H0;D3;+0:7]>>N-[C;H0;D3;+0:1]=[CH;D2;+0:2]-[C;H0;D2;+0:3]#[N;H0;D1;+0:4].[NH2;D1;+0:5]-[NH;D2;+0:6]-[c;H0;D3;+0:7]	00e348b232100bddaf849484dae0d255d55f7c2a746bcb6742382612feecce97	0.0 Unrecognized	5	1
26	[NH;D2;+0:2]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:6]:[c;H0;D3;+0:5]:[c;H0;D3;+0:4]:[nH;D2;+0:3]:1>>S=[C;H0;D3;+0:1](-[NH;D2;+0:2])-[NH;D2;+0:3]-[c;H0;D3;+0:4]:[c;H0;D3;+0:5]-[NH2;D1;+0:6]	00f003d0e8bac191ba610f67e0adef9d65374fc59c552e7428e36396615d4856	0.0 Unrecognized	55	1
27	[n;H0;D2;+0:7]:[c;H0;D3;+0:6](:[s;H0;D2;+0:8])-[c;H0;D3;+0:5]1:[n;H0;D2;+0:4]:[n;H0;D2;+0:1]:[n;H0;D2;+0:2]:[nH;D2;+0:3]:1>>[N-;H0;D1:1]=[N+;H0;D2:2]=[N-;H0;D1:3].[N;H0;D1;+0:4]#[C;H0;D2;+0:5]-[c;H0;D3;+0:6](:[n;H0;D2;+0:7]):[s;H0;D2;+0:8]	00f479c090ef92567cd975ccae8543a1878f41ff010df3e7ff35fd08ecbe75aa	0.0 Unrecognized	4	1
28	[OH;D1;+0:1]-[CH;D3;+0:4]1-[CH2;D2;+0:3]-[CH;D3;+0:2]-[O;H0;D2;+0:7]-[CH2;D2;+0:6]-[CH2;D2;+0:5]-1>>C-[OH;D1;+0:1].O=[CH;D2;+0:2].[CH2;D1;+0:3]=[CH;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[OH;D1;+0:7]	00f7549a4fbf07fba2f917d95696ae65c791490cd934be5bd9cece48bbd8dcae	0.0 Unrecognized	4	1
29	[C;H0;D4;+0:1]1-[O;H0;D2;+0:2]-[CH;D3;+0:3]-[CH2;D2;+0:4]-[CH;D3;+0:5]-[O;H0;D2;+0:6]-1>>C-O-[C;H0;D4;+0:1]-O-C.[OH;D1;+0:2]-[CH;D3;+0:3]-[CH2;D2;+0:4]-[CH;D3;+0:5]-[OH;D1;+0:6]	00fe880e196ae0d8052242312cf5581d75c544e4c11c044000200759eecc1b69	0.0 Unrecognized	8	1
30	[o;H0;D2;+0:3]:[c;H0;D3;+0:2]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:7]:[c;H0;D3;+0:6]:[c;H0;D3;+0:5]:[nH;D2;+0:4]:1>>O-[C;H0;D3;+0:1](=O)-[c;H0;D3;+0:2]:[o;H0;D2;+0:3].[NH2;D1;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH2;D1;+0:7]	010cc4dca00dbedf5a215157c96088c6a56fdabab9a38b5d22c5b580171667a0	0.0 Unrecognized	5	1
31	[Si;H0;D4;+0:3]-[c;H0;D3;+0:2]1:[cH;D2;+0:1]:[n;H0;D3;+0:6](-[c;H0;D3;+0:7]):[n;H0;D2;+0:5]:[n;H0;D2;+0:4]:1>>[CH;D1;+0:1]#[C;H0;D2;+0:2]-[Si;H0;D4;+0:3].[N-;H0;D1:4]=[N+;H0;D2:5]=[N;H0;D2;+0:6]-[c;H0;D3;+0:7]	01114a6c00fff45fbc78ba210578cf20c4dfcd32ac75c95ebd69d3f2ade5601d	0.0 Unrecognized	20	1
32	[c;H0;D3;+0:6]-[n;H0;D3;+0:5]1:[c;H0;D3;+0:1]:[cH;D2;+0:2]:[c;H0;D3;+0:3]:[n;H0;D2;+0:4]:1>>O=[C;H0;D3;+0:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3]=O.[NH2;D1;+0:4]-[NH;D2;+0:5]-[c;H0;D3;+0:6]	01158cf0ae084d17453b56663f532a2b15b874374d627d215f0f0bbee3cc7b89	0.0 Unrecognized	118	1
33	[n;H0;D2;+0:3]:[n;H0;D3;+0:2]1:[c;H0;D3;+0:4]:[n;H0;D2;+0:5]:[n;H0;D2;+0:6]:[c;H0;D3;+0:1]:1>>Cl-[c;H0;D3;+0:1]:[n;H0;D2;+0:2]:[n;H0;D2;+0:3].O=[C;H0;D3;+0:4]-[NH;D2;+0:5]-[NH2;D1;+0:6]	011d2c6750d8c5bd3d4195a6a5c832a16884b2f79224eb8336e2b49842cb4d70	0.0 Unrecognized	131	1
34	[c;H0;D3;+0:6]-[n;H0;D3;+0:5]1:[c;H0;D3;+0:1]:[c;H0;D3;+0:2]:[c;H0;D3;+0:3]:[n;H0;D2;+0:4]:1>>O-[C;H0;D3;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=O.[NH2;D1;+0:4]-[NH;D2;+0:5]-[c;H0;D3;+0:6]	012e5a83b6325fa91c7ad370f6999ef078bc2f5846880212a49ecf3cabe06138	0.0 Unrecognized	12	1
35	[c;H0;D3;+0:3]1:[c;H0;D3;+0:4]:[n;H0;D3;+0:5]:[cH;D2;+0:1]:[n;H0;D2;+0:2]:1>>C-C-O-[CH;D3;+0:1](-O-C-C)-O-C(-C)=O.[NH2;D1;+0:2]-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[NH;D2;+0:5]	01326313aa00642eee2429c7f5e7a62a9340b6f53b406f872ca5eeb8b2c72a25	0.0 Unrecognized	35	1
36	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[N;H0;D3;+0:7]-1>>Cl-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:5](-Cl)=[O;H0;D1;+0:6].[NH2;D1;+0:7]	01527fa804dda70c9da69886bcfdd863538c8aa87d64b9221a3ba86588ae3572	0.0 Unrecognized	11	1
37	[O;H0;D1;+0:4]=[C;H0;D3;+0:3]1-[O;H0;D2;+0:6]-[C;H0;D4;+0:5]-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-1>>Br-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[C;H0;D3;+0:3](-O)=[O;H0;D1;+0:4].[C;H0;D3;+0:5]=[O;H0;D1;+0:6]	015f98a8d81c6c38dbb813a0985f1a481e960814c68747d1934cf12e94fe1177	0.0 Unrecognized	11	1
38	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[cH;D2;+0:3]:[cH;D2;+0:4]:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]:[n;H0;D3;+0:7]:1-[c;H0;D3;+0:8]>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])/[CH;D2;+0:3]=[CH;D2;+0:4]/[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH;D2;+0:7]-[c;H0;D3;+0:8]	0164750175d34f1d2aab58ded80979f40c07406b3349f95b987b49d4859ded74	0.0 Unrecognized	28	1
39	[C;H0;D4;+0:6]1-[CH2;D2;+0:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-1>>I-[CH2;D2;+0:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-I.[CH2;D2;+0:6]	016cb8a8248f5a6a172a06b00ad28c614ba09b63ca55f3882369a4dab873bb4b	0.0 Unrecognized	9	1
40	[O;H0;D1;+0:5]=[C;H0;D3;+0:4]1-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:6]-1>>Br-[CH2;D2;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-O-C-C.[NH2;D1;+0:6]	01709ea765a8eaa53a4e58723df94e786548166b25fedb787ba68e864659fb51	0.0 Unrecognized	22	1
41	[OH;D1;+0:4]-[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:7]:[c;H0;D3;+0:6](-[S;H0;D2;+0:8]):[n;H0;D2;+0:5]:1>>C-C-O-[CH;D2;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-O-C-C.[NH2;D1;+0:5]-[C;H0;D3;+0:6](=[NH;D1;+0:7])-[S;H0;D2;+0:8]	017551ae395ee9462d1bb269cec6ccf04f3dd4a8db35f80434ff3bb7b754b7aa	0.0 Unrecognized	13	1
42	[NH2;D1;+0:4]-[c;H0;D3;+0:5]1:[n;H0;D3;+0:3]:[n;H0;D2;+0:2]:[n;H0;D2;+0:1]:[c;H0;D3;+0:6]:1-[c;H0;D3;+0:7]>>[N-;H0;D1:1]=[N+;H0;D2:2]=[N;H0;D2;+0:3].[N;H0;D1;+0:4]#[C;H0;D2;+0:5]-[CH2;D2;+0:6]-[c;H0;D3;+0:7]	01843a8353781d57fb2a569eb8cc53bf173f3aff704af4f02efdd9c8adca94e6	0.0 Unrecognized	15	1
43	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[CH;D3;+0:5]-[C;H0;D3;+0:6]-[NH;D2;+0:7]-1>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[CH;D3;+0:5]-[C;H0;D3;+0:6]-[NH2;D1;+0:7]	01854c05e52804154370d15568a1affebc1ba100192d00b05a0ca0df88313455	0.0 Unrecognized	8	1
44	[c;H0;D3;+0:3]-[c;H0;D3;+0:2]1:[n;H0;D2;+0:1]:[c;H0;D3;+0:6]:[c;H0;D3;+0:5]:[nH;D2;+0:4]:1>>[NH;D1;+0:1]=[C;H0;D3;+0:2](-[c;H0;D3;+0:3])-[NH;D2;+0:4]-[c;H0;D3;+0:5]:[cH;D2;+0:6]	019b2f1f6ab53ec2c2b007e1f0aa479c67c11a55e36b9fbd457765789fa41596	0.0 Unrecognized	11	1
45	[SH;D1;+0:6]-[c;H0;D3;+0:4]1:[n;H0;D2;+0:3]:[n;H0;D2;+0:2]:[c;H0;D3;+0:1]:[n;H0;D3;+0:5]:1>>O=[C;H0;D3;+0:1]-[NH;D2;+0:2]-[NH;D2;+0:3]-[C;H0;D3;+0:4](-[NH;D2;+0:5])=[S;H0;D1;+0:6]	01a745d36bc3a29799f0dc0a8a7d1ea65ed548cbe257788220b97aff4eeca4ab	0.0 Unrecognized	9	1
46	[c;H0;D3;+0:4]1:[n;H0;D2;+0:3]:[cH;D2;+0:2]:[n;H0;D2;+0:1]:[n;H0;D3;+0:5]:1>>O-[N;H0;D2;+0:1]=[CH;D2;+0:2]-[NH;D2;+0:3]-[c;H0;D3;+0:4]:[n;H0;D2;+0:5]	01ad28c978ce33fc8397c2436a508089896fa0c21215b9309003520fdc2fe760	0.0 Unrecognized	33	1
47	[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[c;H0;D3;+0:1]:[n;H0;D2;+0:6]:[cH;D2;+0:5]:[cH;D2;+0:4]:1>>O=[C;H0;D3;+0:1]-[CH2;D2;+0:2].[C;H0;D2;+0:3]#[C;H0;D2;+0:4]-[CH2;D2;+0:5]-[NH2;D1;+0:6]	01b2fe4d20ce301f9390eaaa24898c18267351e86557595b44a45c7e46254d67	0.0 Unrecognized	12	1
48	[C;H0;D3;+0:5]1-[CH2;D2;+0:6]-[N;H0;D2;+0:7]=[C;H0;D3;+0:1]-[c;H0;D3;+0:2]:[c;H0;D3;+0:3]-[NH;D2;+0:4]-1>>O=[C;H0;D3;+0:1]-[c;H0;D3;+0:2]:[c;H0;D3;+0:3]-[NH;D2;+0:4]-[C;H0;D3;+0:5]-[CH2;D2;+0:6]-[NH2;D1;+0:7]	01ba6e56420f695fa24bfe0dcb9b942066ac7cbabcb277c5713003ce17ecd568	0.0 Unrecognized	11	1
49	[O;H0;D1;+0:8]=[C;H0;D3;+0:4](-[O;H0;D2;+0:5])-[c;H0;D3;+0:6]1:[n;H0;D2;+0:7]:[c;H0;D3;+0:1]:[n;H0;D2;+0:2]:[n;H0;D3;+0:3]:1>>O=[C;H0;D3;+0:1]-[NH;D2;+0:2]-[NH;D2;+0:3].S=[C;H0;D3;+0:4](-[O;H0;D2;+0:5])-[C;H0;D3;+0:6](-[NH2;D1;+0:7])=[O;H0;D1;+0:8]	01d9eb47bbcf78b9b034903e080dcb9743411aa15a16e4bdf9bc68d16022832e	0.0 Unrecognized	16	1
50	[O;H0;D1;+0:7]=[c;H0;D3;+0:6]1:[c;H0;D3;+0:5]:[c;H0;D3;+0:4]:[nH;D2;+0:3]:[c;H0;D3;+0:1](=[O;H0;D1;+0:2]):[o;H0;D2;+0:8]:1>>Cl-[C;H0;D3;+0:1](-Cl)=[O;H0;D1;+0:2].[NH2;D1;+0:3]-[c;H0;D3;+0:4]:[c;H0;D3;+0:5]-[C;H0;D3;+0:6](=[O;H0;D1;+0:7])-[OH;D1;+0:8]	01dff0e2d4d74022c42929c53ea54a07781e4d53bd4475eeba0895827457abb6	0.0 Unrecognized	98	1
51	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[C;H0;D4;+0:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:5]-[NH;D2;+0:6]-1>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[C;H0;D4;+0:3]-[CH2;D2;+0:4]-[C;H0;D3;+0:5]-[NH2;D1;+0:6]	01ea99f53409ccbf2ff70dfbc762fc53f60caab9d4fb31c9768ed995667f7d36	0.0 Unrecognized	3	1
52	[OH;D1;+0:2]-[c;H0;D3;+0:1]1:[cH;D2;+0:3]:[c;H0;D3;+0:4]:[n;H0;D2;+0:5]:[c;H0;D3;+0:6]:[n;H0;D3;+0:7]:1:[n;H0;D2;+0:8]>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[C;H0;D3;+0:4]=O.[NH2;D1;+0:5]-[c;H0;D3;+0:6]:[nH;D2;+0:7]:[n;H0;D2;+0:8]	01f93723a8f2ccf0e0d75aa4ae00c5eca40321e5f59a5f07a4b807338d8852f5	0.0 Unrecognized	35	1
